Player Name,Role,Total IPL Match Innings,Total Runs (Batter/AR),Total Wickets (Bowler/AR),Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy
Mayank Rawat,ALL-ROUNDER,0,0,0,,,,
Mayank Yadav,BOWLER,7,,8,,,19.12,7.14
M. Siddharth,BOWLER,6,,4,,,37.75,7.94
Mitch Owen,ALL-ROUNDER,0,0,0,,,,
Mitchell Marsh,ALL-ROUNDER,42,692,24,18.21,128.87,22.08,8.52
Mitchell Starc,BOWLER,41,,58,,,21.6,7.95
Mohammad Izhar,BOWLER,0,,0,,,,
Mohammad Shami,BOWLER,110,,127,,,26.89,8.44
Mohammed Siraj,BOWLER,93,,93,,,31.43,8.65
Mohd. Arshad Khan,ALL-ROUNDER,13,60,10,20,133.33,38.2,10.91
Mohsin Khan,BOWLER,24,,30,,,25.1,8.35
MS Dhoni,WICKETKEEPER,234,5243,,39.12,137.54,,
Mukesh Choudhary,BOWLER,13,,16,,,26.5,9.83
Mukesh Kumar,BOWLER,20,,24,,,28.5,10.35
Mukul Choudhary,WICKETKEEPER,10,170,,28.33,141.67,,
Musheer Khan,ALL-ROUNDER,0,0,0,,,,
Naman Dhir,ALL-ROUNDER,10,184,,22.1,178.64,,
Naman Tiwari,BOWLER,0,,0,,,,
Nandre Burger,BOWLER,6,,7,,,24.28,9.58
Navdeep Saini,BOWLER,32,,23,,,37.13,9.32
Nehal Wadhera,BATSMAN,21,382,,25.46,147.49,,
Nicholas Pooran,BATSMAN,76,2043,,32.75,160.84,,
Nishant Sindhu,ALL-ROUNDER,3,6,0,6,75,,9
Nitish Kumar Reddy,ALL-ROUNDER,20,443,13,34.07,142.85,26.3,9.2
Nitish Rana,ALL-ROUNDER,105,2855,10,29.13,135.25,31.8,8.7
Noor Ahmad,BOWLER,23,,29,,,23.41,7.92
N. Tilak Varma,BATSMAN,45,1455,,39.32,144.15,,
Onkar Tarmale,BOWLER,0,,0,,,,
Pat Cummins,ALL-ROUNDER,45,483,63,21,154.35,31.84,8.54
Pathum Nissanka,BATSMAN,0,0,,,,,
Phil Salt,BATSMAN,21,656,,32.8,175.53,,
Prabhsimran Singh,BATSMAN,38,941,,24.76,149.36,,
Praful Hinge,BOWLER,7,,14,,,,
Prashant Solanki,BOWLER,2,,1,,,43,10.75
Prashant Veer,ALL-ROUNDER,0,0,0,,,,
Prasidh Krishna,BOWLER,51,,49,,,34.61,8.92
Pravin Dubey,BOWLER,4,,1,,,72,9.6
Prince Yadav,BOWLER,0,,0,,,,
Prithvi Shaw,BATSMAN,79,1892,,23.94,147.45,,
Priyansh Arya,ALL-ROUNDER,30,839,0,27.97,191.99,,
Pyla Avinash,BATSMAN,0,0,,,,,
Quinton de Kock,WICKETKEEPER,107,3157,,31.88,134.23,,
Rachin Ravindra,ALL-ROUNDER,10,222,3,22.2,160.86,43.66,10.91
Raghu Sharma,BOWLER,0,,0,,,,
Rahul Chahar,BOWLER,83,,76,,,29.35,7.82
Rahul Tewatia,ALL-ROUNDER,65,965,32,24.74,135.21,30.12,8.78
Rahul Tripathi,BATSMAN,89,2236,,27.26,139.31,,
Raj Angad Bawa,ALL-ROUNDER,2,11,0,5.5,68.75,,11.25
Rajat Patidar,BATSMAN,27,799,,34.73,158.84,,
Ramandeep Singh,ALL-ROUNDER,15,178,4,22.25,169.52,26.5,9.28
Rashid Khan,BOWLER,68,492,149,14.9,139.71,21.05,6.85
Rasikh Dar,BOWLER,16,,22,,,26.86,10.15
Ravi Bishnoi,BOWLER,66,,66,,,30.54,7.91
Ravindra Jadeja,ALL-ROUNDER,194,3054,165,27.26,129.15,30.2,7.62
Rehan Ahmed,BOWLER,0,,0,,,,
Rinku Singh,BATSMAN,39,893,,30.79,144.91,,
Rishabh Pant,WICKETKEEPER,110,3284,,35.31,148.93,,
Riyan Parag,BATSMAN,68,1055,4,21.97,,32.75,9.35
Robin Minz,WICKETKEEPER,4,12,,4,63.16,,
Rohit Sharma,BATSMAN,251,6628,15,29.58,131.14,27.93,7.96
Romario Shepherd,ALL-ROUNDER,8,140,6,35,177.21,43.16,12.33
Rovman Powell,BATSMAN,23,354,,19.66,147.5,,
Ruturaj Gaikwad,BATSMAN,66,2380,,41.39,137.26,,
Ryan Rickelton,WICKETKEEPER,26,836,,34.83,168.21,,
Sahil Parakh,BATSMAN,0,0,,,,,
Sai Kishore,ALL-ROUNDER,15,,20,,,22.9,7.63
Sai Sudharsan,BATSMAN,26,1034,,47,135.92,,
Sakib Hussain,BOWLER,1,,0,,,,17
Salil Arora,WICKETKEEPER,11,156,,22.29,159.18,,
Sameer Rizvi,ALL-ROUNDER,8,51,,12.75,118.6,,
Sandeep Sharma,BOWLER,124,,131,,,26.65,7.91
Sanju Samson,WICKETKEEPER,163,4419,,30.68,138.83,,
Sarfaraz Khan,BATSMAN,44,585,,22.5,132.95,,
Sarthak Ranjan,ALL-ROUNDER,0,0,0,,,,
Satvik Deswal,ALL-ROUNDER,0,0,0,,,,
Saurabh Dubey,BOWLER,0,,0,,,,
Shahbaz Ahamad,ALL-ROUNDER,33,395,18,20.78,118.91,30.27,8.75
Shahrukh Khan,ALL-ROUNDER,33,448,0,21.33,134.13,,
Shardul Thakur,ALL-ROUNDER,53,307,91,14.61,139.81,29.35,9.15
Shashank Singh,BATSMAN,23,497,,41.41,164.24,,
Sherfane Rutherford,BATSMAN,10,158,1,26.33,131.66,43,10.75
Shimron Hetmyer,BATSMAN,56,1285,,32.12,152.02,,
Shivang Kumar,ALL-ROUNDER,13,53,9,8.83,115.22,41.67,9.62
Shivam Dube,ALL-ROUNDER,55,1502,4,31.95,142.1,37.5,9.25
Shreyas Gopal,BOWLER,51,,55,,,26.21,7.98
Shreyas Iyer,BATSMAN,115,3539,,32.17,128.52,,
Shubham Dubey,BATSMAN,5,59,,14.75,137.2,,
Shubman Gill,BATSMAN,103,3216,,35.53,135.58,,
Smaran Ravichandran,BATSMAN,0,0,,,,,
Spencer Johnson,BOWLER,5,,6,,,26.5,8.58
Sunil Narine,ALL-ROUNDER,150,1547,180,16.45,165.23,25.76,6.74
Surya Kumar Yadav,BATSMAN,139,3594,,32.37,145.31,,
Suryansh Shedge,ALL-ROUNDER,0,0,0,,,,
Sushant Mishra,BOWLER,1,,0,,,,14.75
Suyash Sharma,BOWLER,15,,7,,,45.42,9.38
Swapnil Singh,ALL-ROUNDER,12,87,8,21.75,133.84,26.5,8.52
Tejasvi Singh,WICKETKEEPER,0,0,,,,,
Tim David,ALL-ROUNDER,33,751,0,34.13,182.26,,
Tim Seifert,WICKETKEEPER,3,60,,20,139.53,,
T. Natarajan,BOWLER,62,,68,,,28.52,9.07
Travis Head,BATSMAN,22,890,1,44.5,178.71,47,11.75
Trent Boult,BOWLER,104,,121,,,26.65,8.32
Tripurana Vijay,ALL-ROUNDER,0,0,0,,,,
Tristan Stubbs,WICKETKEEPER,18,418,,41.8,178.63,,
Tushar Deshpande,BOWLER,39,,44,,,27.52,10.13
Umran Malik,BOWLER,26,,29,,,24.58,10.48
Urvil Patel,WICKETKEEPER,10,197,,19.7,205.21,,
Vaibhav Arora,BOWLER,15,,19,,,26.21,9.45
Vaibhav Sooryavanshi,BATSMAN,23,1028,,44.7,228.95,,
Varun Chakaravarthy,BOWLER,71,,83,,,24.33,7.55
Venkatesh Iyer,ALL-ROUNDER,50,1354,3,33.85,137.21,45,10.38
Vicky Ostwal,ALL-ROUNDER,0,,0,,,,
Vignesh Puthur,BOWLER,0,,0,,,,
Vihaan Malhotra,ALL-ROUNDER,0,0,0,,,,
Vipraj Nigam,ALL-ROUNDER,0,0,0,,,,
Virat Kohli,BATSMAN,244,8004,,38.66,131.97,,
Vishal Nishad,BOWLER,0,,0,,,,
Vishnu Vinod,WICKETKEEPER,5,105,,21,136.36,,
Vyshak Vijaykumar,BOWLER,11,,13,,,32.38,10.43
Washington Sundar,ALL-ROUNDER,33,381,37,19.05,115.8,33.16,7.78
Will Jacks,ALL-ROUNDER,8,230,2,32.85,175.57,43.5,10.87
Xavier Bartlett,BOWLER,13,,7,,,69.14,11.13
Yashasvi Jaiswal,BATSMAN,53,1562,,31.87,155.08,,
Yash Dayal,BOWLER,38,,42,,,30.14,9.12
Yash Raj Punja,BOWLER,0,,0,,,,
Yash Thakur,BOWLER,21,,25,,,29.36,9.94
Yudhvir Singh Charak,ALL-ROUNDER,3,,3,,,36.33,10.9
Yuzvendra Chahal,BOWLER,160,,205,,,22.43,7.84
Zak Foulkes,ALL-ROUNDER,0,0,0,,,,
Zeeshan Ansari,BOWLER,10,,6,,,55.5,9.84
